Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Antrim and Newtownabbey,"19,500","51,000",0,18129,Manufacturing,BT36 4FB
Northern Ireland,Mid and East Antrim,"4,240","11,740",0,82990,Administrative And Support Service Activities,BT42 3EF
Northern Ireland,Ards and North Down,"38,514","89,402",0,62020,Information And Communication,BT18 9AG
Northern Ireland,Causeway Coast and Glens,"96,000","551,616",16,28920,Manufacturing,
United States,Antrim and Newtownabbey,"1,733,348","9,606,190",0,26511,Manufacturing,BT41 1QS
Northern Ireland,"Newry, Mourne and Down","37,015","99,036",2,46130,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT34 1QH
Northern Ireland,"Newry, Mourne and Down","95,238","193,164",0,28140,Manufacturing,BT33 0JZ
Northern Ireland,"Newry, Mourne and Down","90,000","566,000",18,96090,Other Service Activities,BT35 8LQ
Northern Ireland,Lisburn and Castlereagh,"47,500","118,750",1,27120,Manufacturing,BT28 2BP
Northern Ireland,Belfast,"49,000","480,000",7,62012,Information And Communication,BT3 9DT
Northern Ireland,"Newry, Mourne and Down","15,648","35,980",0,71121,"Professional, Scientific And Technical Activities",BT35 8PR
Northern Ireland,Antrim and Newtownabbey,"96,000","322,000",8,46450,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT39 0RA
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,93130,"Arts, Entertainment And Recreation",
Northern Ireland,Antrim and Newtownabbey,"35,000","252,000",7,24100,Manufacturing,BT39 0SX
Northern Ireland,"Armagh City, Banbridge and Craigavon","20,400","51,000",2,25620,Manufacturing,BT61 8BL
Northern Ireland,Mid Ulster,"46,168","115,420",1,22230,Manufacturing,BT45 5DN
Northern Ireland,Mid Ulster,"6,000","52,000",2,32990,Manufacturing,BT71 4HP
Northern Ireland,Fermanagh and Omagh,"10,000","61,840",2,74901,"Professional, Scientific And Technical Activities",BT94 2BD
Northern Ireland,Belfast,"7,000","32,000",1,18129,Manufacturing,BT16 1QQ
Northern Ireland,Belfast,"13,826","40,068",0,14132,Manufacturing,
Northern Ireland,Belfast,"1,000","9,000",1,82990,Administrative And Support Service Activities,BT17 0RE
Irish Republic,Lisburn and Castlereagh,"37,740","172,800",1,77390,Administrative And Support Service Activities,BT28 2EJ
Northern Ireland,Belfast,"7,500","20,000",0,43210,Construction,BT3 9HB
Northern Ireland,"Armagh City, Banbridge and Craigavon","42,000","232,000",6,35110,"Electricity, Gas, Steam And Air Conditioning Supply",BT12 6RE
Northern Ireland,Lisburn and Castlereagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Irish Republic,"Armagh City, Banbridge and Craigavon","100,000","2,466,000",25,10510,Manufacturing,BT62 4HB
Northern Ireland,Mid and East Antrim,"72,500","185,000",5,16230,Manufacturing,BT42 1JU
Northern Ireland,Belfast,"2,045","4,090",0,21200,Manufacturing,BT3 9DT
Northern Ireland,Belfast,"1,000","9,000",1,82990,Administrative And Support Service Activities,
Northern Ireland,Fermanagh and Omagh,"10,000","20,000",0,86230,Human Health And Social Work Activities,BT94 1GR
Northern Ireland,Fermanagh and Omagh,"3,734","16,652",0,55100,Accommodation And Food Service Activities,BT74 6HR
Northern Ireland,Lisburn and Castlereagh,"42,988","85,975",0,32500,Manufacturing,BT16 1QQ
Northern Ireland,"Newry, Mourne and Down","2,000","5,000",0,82990,Administrative And Support Service Activities,BT24 7JG
Northern Ireland,Mid and East Antrim,"170,000","1,008,000",20,82990,Administrative And Support Service Activities,BT42 1JQ
Northern Ireland,"Armagh City, Banbridge and Craigavon","10,000","22,000",0,29202,Manufacturing,BT71 6HX
Northern Ireland,Mid Ulster,"5,000","11,000",0,28220,Manufacturing,BT71 4DT
Northern Ireland,Belfast,"30,000","216,000",6,69201,"Professional, Scientific And Technical Activities",BT7 1SH
Northern Ireland,Causeway Coast and Glens,"10,000","50,000",1,27900,Manufacturing,BT53 7JE
Northern Ireland,Belfast,"36,000","390,000",15,43210,Construction,BT12 6RD
Northern Ireland,"Armagh City, Banbridge and Craigavon","20,344","62,488",0,25620,Manufacturing,BT70 2NG
Northern Ireland,Belfast,"3,487","22,221",0,59120,Information And Communication,BT4 2LN
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,750","3,500",0,71111,"Professional, Scientific And Technical Activities",BT63 5LX
Northern Ireland,Fermanagh and Omagh,"22,160","60,400",1,85590,Education,BT78 5DY
Northern Ireland,Mid Ulster,"21,000","108,000",3,28920,Manufacturing,BT71 6QN
Northern Ireland,Belfast,"31,710","114,580",0,89300,Mining And Quarrying,BT3 9AL
Northern Ireland,Belfast,"25,000","65,640",0,18129,Manufacturing,BT3 9JP
Northern Ireland,Fermanagh and Omagh,"2,813","5,625",0,43110,Construction,BT79 9AL
Northern Ireland,Lisburn and Castlereagh,"75,681","382,816",9,64999,Financial And Insurance Activities,BT27 4AB
Northern Ireland,Belfast,"46,224","77,040",0,80100,Administrative And Support Service Activities,BT4 1GW
Northern Ireland,Lisburn and Castlereagh,"17,120","42,800",0,21100,Manufacturing,BT28 2EX
Northern Ireland,Lisburn and Castlereagh,"23,192","57,980",2,18129,Manufacturing,BT8 7QN
Northern Ireland,Lisburn and Castlereagh,"3,684","10,463",0,20412,Manufacturing,BT8 8AN
Northern Ireland,"Armagh City, Banbridge and Craigavon","4,000","8,000",0,25940,Manufacturing,BT63 5WG
Northern Ireland,Antrim and Newtownabbey,"64,000","487,224",16,16210,Manufacturing,BT41 2DU
Northern Ireland,Belfast,"14,700","30,000",0,32500,Manufacturing,BT3 9LE
Northern Ireland,Antrim and Newtownabbey,"1,050","2,100",0,63990,Information And Communication,BT41 3SF
Northern Ireland,Mid and East Antrim,"6,071","12,142",0,25110,Manufacturing,BT42 4RA
Northern Ireland,Antrim and Newtownabbey,"97,400","243,500",1,22230,Manufacturing,BT41 1AB
Northern Ireland,Mid Ulster,"24,000","93,000",0,28920,Manufacturing,BT71 6LA
Northern Ireland,"Newry, Mourne and Down","243,913","594,911",0,62010,Information And Communication,BT34 2DH
