Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
SUSSD Limited,2017-18,"1,150","2,300",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62090,Information And Communication,Enterprise House,56-59 Adelaide Street, ,Belfast,County Antrim,BT2 8FE
SUSSD Limited,2017-18,500,"1,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62090,Information And Communication,Enterprise House,56-59 Adelaide Street, ,Belfast,County Antrim,BT2 8FE
Clonallon Laboratories Ltd,2017-18,"39,725","257,750",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",21200,Manufacturing,Unit 1 & 2 5 Milltown Industrial Estate, , ,Warrenpoint,County Down,BT34 3FN
Power On Technologies Ltd,2017-18,"1,548","3,870",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Causeway Coast and Glens,82990,Administrative And Support Service Activities,10-16 Coast Road,Cushendall, ,Ballymena,County Antrim,BT44 0RU
McAuley Precision Limited,2017-18,"8,130","16,260",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Causeway Coast and Glens,25620,Manufacturing,21 Ballymena Road, , ,Ballymoney,County Antrim,BT53 7EX
Porsha Bespoke Limited,2017-18,"4,325","8,650",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,31090,Manufacturing,Brook Buildings, , ,Kesh,County Fermanagh,BT93 1TF
Musikhopper,2017-18,"6,000","20,000",Other,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,63990,Information And Communication,1 Park View,Dunmurry, ,Belfast,County Antrim,BT17 9RY
J.M.G. Systems Ltd,2017-18,"3,558","7,115",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,26512,Manufacturing,68 Derry Road, , ,Omagh,County Tyrone,BT78 5ED
Itssoome Limited,2017-18,"9,000","30,000",Other,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",47190,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,36 Ashdene Park,Lurgan, ,Craigavon,County Armagh,BT66 8PY
Examenlab Limited,2017-18,"19,035","63,450",Other,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,86900,Human Health And Social Work Activities,"Unit 18A, Block K,",Weavers Court Business Park,Linfield Road,Belfast,County Antrim,BT12 5GH
