Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Lough Neagh Fishermen's Cooperative,2013-14,"17,400","217,580",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,32200,"Agriculture, Forestry And Fishing",4 Bannside, , ,Toomebridge,County Londonderry,BT41 3SB
CDE Global Limited,2013-14,"12,495","25,500",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28921,Manufacturing,Ballyreagh Industrial Estate,Sandholes Road, ,Cookstown,County Tyrone,BT80 9DG
Broughgammon Farm,2013-14,"4,000","10,000",Other,0,Northern Ireland,Local,New,NORTH ANTRIM,Causeway Coast and Glens,10130,Manufacturing,50 Straid Road, , ,Ballycastle,County Antrim,BT54 6NP
Capita Group,2013-14,"4,000,000","35,800,000",Creating Jobs / Capital Investment / Business Development,400,Great Britain,External,Existing,BELFAST NORTH,Antrim and Newtownabbey,62090,Information And Communication,61 Church Road,Hillview House, ,Newtownabbey,County Antrim,BT36 7LQ
Nitro Asset Management Limited,2013-14,"6,000","15,000",Other,0,Northern Ireland,Local,New,LAGAN VALLEY,"Armagh City, Banbridge and Craigavon",77120,Administrative And Support Service Activities,Unit 3 100 Church Street, , ,Dromore,County Down,BT25 1AA
OMG Software Ltd,2013-14,"3,675","7,500",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62020,Information And Communication,68 Rushfield Avenue, , ,Belfast,County Down,BT7 3FR
Nitro Asset Management Limited,2013-14,"2,328","4,759",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,"Armagh City, Banbridge and Craigavon",77120,Administrative And Support Service Activities,Unit 3 100 Church Street, , ,Dromore,County Down,BT25 1AA
Easability Showers Ltd,2013-14,"5,000","13,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,22290,Manufacturing,Unit 2 Moira Industrial Estate,34 Old Kilmore Road, ,Moira,County Down,BT67 0LZ
BA Components,2013-14,"82,038","258,676",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,31090,Manufacturing,Derryloran Industrial Estate, , ,Cookstown,County Tyrone,BT80 9LU
Chapman Foods,2013-14,0,"123,164",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10390,Manufacturing,57 Battlehill Road,Portadown, ,Craigavon,County Armagh,BT62 4ES
Glenballyeamon Eggs,2013-14,0,"21,593",Other,0,Northern Ireland,Local,Existing,EAST ANTRIM,Causeway Coast and Glens,46330,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,93 Ballyeamon Road, , ,Cushendall,County Antrim,BT44 0SN
Tandragee Mushroom Compost,2013-14,0,"1,530,176",Creating Jobs / Capital Investment / Business Development,18,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",89200,Mining And Quarrying,25 Cabragh Road, , ,Tandragee,County Armagh,BT62 2HL
Pinkertons,2014-15,0,"318,769",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10130,Manufacturing,7 Magheraville Road,Enagh, ,Milford,County Armagh,BT60 3PR
McAtamneys,2013-14,0,"108,660",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,10130,Manufacturing,28 Woodside Road Industrial Estate, , ,Ballymena,County Antrim,BT42 4QJ
Willowbrook Foods Limited,2013-14,0,"591,798",Other,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,46310,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,50a Whiterock Road, , ,Killinchy,County Down,BT23 6PT
McCreight Potatoes Limited,2014-15,0,"142,310",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",10310,Manufacturing,93 Crossan Road,Rathfriland, ,Newry,County Down,BT34 5BE
Season Harvest (NI) Limited,2013-14,0,"50,855",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,EAST LONDONDERRY,Derry City and Strabane,46310,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Baranailt Road, , ,Claudy,County Londonderry,BT47 4EA
Hughes Mushrooms,2014-15,0,"635,679",Creating Jobs / Capital Investment / Business Development,15,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10390,Manufacturing,118 Trewmount Road, , ,Dungannon,County Tyrone,BT71 7EF
Mash Direct Limited,2014-15,0,"916,000",Creating Jobs / Capital Investment / Business Development,22,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,10890,Manufacturing,81 Ballyrainey Road, , ,Comber,County Down,BT23 5JU
PI Communication Limited,2013-14,"25,000","65,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,59120,Information And Communication,19 Church Avenue, ,Dunmurry,Belfast,County Antrim,BT17 9RS
Apple Blossom Bakery,2013-14,"24,000","207,040",Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,40 Ballymagerny Road, , ,Loughgall,County Armagh,BT61 8PL
Castle Hill Candles Ltd,2013-14,"15,000","128,000",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,32990,Manufacturing,Unit 47 Innotec Drive,Balloo Road, ,Bangor,County Down,BT19 7PD
Seimetrix Limited,2013-14,"49,030","281,741",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,BELFAST NORTH,Belfast,62020,Information And Communication,Cathedral House,23-31 Waring Street, ,Belfast,County Antrim,BT1 2DX
Castle Hill Candles Ltd,2013-14,"8,400","53,000",Other,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,32990,Manufacturing,Unit 47 Innotec Drive,Balloo Road, ,Bangor,County Down,BT19 7PD
Rocara Limited,2013-14,"3,750","7,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,20590,Manufacturing,Unit 4 Elmbank,Channel Commercial Park,Queen's Road,Belfast,County Down,BT3 9DT
Finn Lough,2013-14,"5,000","12,600",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,55209,Accommodation And Food Service Activities,33 Letter Road, , ,Aghnablaney,County Fermanagh,BT93 2BB
ISDM Solutions Limited,2013-14,"20,100","171,500",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,62020,Information And Communication,5 Cromac Avenue, , ,Belfast,County Antrim,BT7 2JA
Focus Security Solutions (NI) Limited,2013-14,"14,200","174,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,BELFAST NORTH,Belfast,80300,Administrative And Support Service Activities,130 - 132 Corporation Street, , ,Belfast,County Antrim,BT1 3DH
CPL Supplies,2013-14,"28,668","130,130",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,WEST TYRONE,Derry City and Strabane,25990,Manufacturing,59 Main Street, , ,Castlederg,County Tyrone,BT81 7AN
IMS,2013-14,"10,500","30,000",Other,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,28920,Manufacturing,34A Dunroe Road, , ,Clogher,County Tyrone,BT76 0DZ
Allstate Northern Ireland Limited,2013-14,"9,620","20,914",Investing in R&D                    ,0,United States of America,External,Existing,BELFAST SOUTH,Belfast,66220,Financial And Insurance Activities,9 Lanyon Place, , ,Belfast,County Antrim,BT1 3LZ
IBC Trading Ltd,2013-14,"8,185","16,370",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST EAST,Lisburn and Castlereagh,32200,Manufacturing,Unit B5 Dundonald Enterprise Park,Carrowreagh Road, ,Dundonald,County Down,BT16 1QT
Ascot Sign Systems,2013-14,"4,950","9,900",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,18130,Manufacturing,1 Carrakeel Drive, , ,Maydown,County Londonderry,BT47 6UQ
Taketen Ltd,2013-14,"5,000","10,450",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,85590,Education,POD 8 E3 Springvale Campus,398 Springfield Road, ,Belfast,County Antrim,BT12 7DU
Taketen Ltd,2013-14,"5,000","11,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,85590,Education,POD 8 E3 Springvale Campus,398 Springfield Road, ,Belfast,County Antrim,BT12 7DU
T H Nicholson,2013-14,"6,860","14,000",Developing Skills,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",46380,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,The Harbour, , ,Kilkeel,County Down,BT34 4AX
Smyth Steel Limited,2013-14,"3,434","6,868",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,25110,Manufacturing,15 Gorran Road,Blackhill, ,Coleraine,County Londonderry,BT51 4HA
Bua Ltd,2013-14,"1,595","3,190",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,32300,Manufacturing,242 Glenkeen Avenue, , ,Greenisland,County Antrim,BT38 8SW
North Down Grain Limited,2013-14,"2,858","8,258",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,89100,Mining And Quarrying,16 Tullykevin Road, , ,Ballywalter,County Down,BT22 2NB
Glassmarque Design Limited,2013-14,"35,000","180,400",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,43342,Construction,13 Hill Street, , ,Dunmurry,County Antrim,BT17 0AD
360 Production,2013-14,"47,198","151,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,78101,Administrative And Support Service Activities,157-159 High Street, , ,Holywood,County Down,BT18 9HU
Eastwood Limited,2013-14,"8,085","16,500",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Lisburn and Castlereagh,43110,Construction,541 Saintfield Road,Carryduff, ,Belfast,County Down,BT8 8ES
Tennants Textile Colours Limited,2013-14,"27,876","69,690",Creating Jobs / Capital Investment / Business Development,3,Great Britain,External,Existing,BELFAST SOUTH,Belfast,20120,Manufacturing,31-43 Ravenhill Road, , ,Belfast,County Down,BT6 8DP
Mobilereport,2013-14,"3,330","6,660",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Lisburn and Castlereagh,82990,Administrative And Support Service Activities,"No 3 ,Suite A",10 Heron Road,,Belfast,County Down,BT3 9LE
DNC Fabrications Ltd,2013-14,"49,632","82,720",Investing in R&D                    ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",25110,Manufacturing,Kernan Technology Park,4 Kernan Road, ,Gilford,County Down,BT63 6BU
Imagine Composites Ltd,2013-14,"31,762","48,864",Investing in R&D                    ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,"Armagh City, Banbridge and Craigavon",62020,Information And Communication,34  Princes Street, , ,Dromore,County Down,BT25 1AY
Eire Designs,2013-14,"2,450","5,000",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,14190,Manufacturing,12 Boucher Way, , ,Belfast,County Antrim,BT12 6RE
SCL Exhausts Ltd,2013-14,"10,641","17,735",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,29320,Manufacturing,199 Killyman Road, , ,Dungannon,County Tyrone,BT71 6LN
Cross Refrigeration (N.I.) Limited,2013-14,"1,450","2,900",Developing Innovation & Technology  ,0,Irish Republic,External,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",28250,Manufacturing,58 Hamiltons Bawn Road, , ,Armagh,County Armagh,BT60 1HW
Delegate Recruitment Limited,2013-14,"7,133","14,266",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,78100,Administrative And Support Service Activities,Studio J 121 Donegall Road, , ,Belfast,County Antrim,BT12 5JL
Wilson Sloan Consulting,2013-14,"5,285","10,570",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,70229,"Professional, Scientific And Technical Activities",6 Cairnburn Grange, , ,Belfast,County Down,BT4 2TA
C & H Electrical,2013-14,"21,000","105,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,71129,"Professional, Scientific And Technical Activities",85A Imperial Drive, , ,Belfast,County Down,BT6 8JP
Name cannot be released,2013-14,"2,600","5,200",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Lisburn and Castlereagh,32990,Manufacturing,,,,,,
SCL Exhausts Ltd,2013-14,"3,600","7,200",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,29320,Manufacturing,199 Killyman Road, , ,Dungannon,County Tyrone,BT71 6LN
Reach E.P.S  Ltd,2013-14,"5,745","11,491",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,13300,Manufacturing,Lissue Industrial Estate,Moira Road, ,Lisburn,County Antrim,BT28 2RB
Warwick Engineering (NI) Ltd,2013-14,"13,462","49,911",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,25110,Manufacturing,67a Whappstown Road,Moorfields, ,Ballymena,County Antrim,BT42 3DB
Albus Solutions,2013-14,"21,330","50,785",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,28930,Manufacturing,2 Carlisle Terrace, , ,Derry City,County Londonderry,BT48 6JX
Seating Matters Ltd,2013-14,"6,222","15,555",Developing Skills,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,31090,Manufacturing,131 Carnamuff Road, , ,Limavady,County Londonderry,BT49 9JG
The Good Food & Wine Company Limited,2013-14,"37,699","53,856",Investing in R&D                    ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,10390,Manufacturing,58 Glenstall Road, , ,Ballymoney,County Antrim,BT53 7QN
Probably Econoliser,2013-14,"1,500","3,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Lisburn and Castlereagh,20200,Manufacturing,Unit C17 Dundonald Enterprise Park,Carrowreagh Road, ,Dundonald,County Down,BT16 1QT
Aridhia Informatics Limited,2013-14,"7,192","14,385",Investing in R&D                    ,0,Great Britain,External,Existing,X Outside NI,X Outside NI,96090,Other Service Activities,Hobart House,80 Handover Street, ,Edinburgh, ,EH2 1EL
Garage Door Systems Limited,2013-14,"1,960","4,000",Developing Skills,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,25120,Manufacturing,Wakehurst Industrial Estate,Wakehurst Road, ,Ballymena,County Antrim,BT42 3AZ
Westville Hotel,2013-14,"24,000","48,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,55100,Accommodation And Food Service Activities,14-20 Tempo Road, , ,Enniskillen,County Fermanagh,BT74 6HR
Little Deli Ltd,2013-14,"2,000","5,000",Other,0,Northern Ireland,Local,New,NEWRY AND ARMAGH,"Newry, Mourne and Down",62010,Information And Communication,Ceased Trading,,,,,
Fairgreen Plastics Limited,2013-14,"21,000","102,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",22290,Manufacturing,33 Fairgreen Road, , ,Markethill,County Armagh,BT60 1PW
"Richard Atkinson and Company, Limited",2013-14,"3,450","9,399",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,14190,Manufacturing,10 Nicholson Drive,Mallusk, ,Newtownabbey,County Antrim,BT36 4FD
Choc-O-Bloc (NI) Ltd,2013-14,"5,000","12,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,46360,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Ceased Trading,,,,,
Graham's Home Bakery,2013-14,"44,068","110,170",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,LAGAN VALLEY,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,6 Barronstown Road, , ,Dromore,County Down,BT25 1NT
Armagh Cider Company Ltd,2013-14,"2,250","4,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",11030,Manufacturing,73 Drumnasoo Road,Portadown, ,Craigavon,County Armagh,BT62 4EX
OBE Waste & Agri Engineering Ltd,2013-14,"28,000","134,306",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",28210,Manufacturing,23 Old Bann Road, , ,Donaghcloney,County Down,BT66 7PW
Caterpillar (NI) Limited,2014-15,"349,047","1,163,491",Developing Skills,0,United States of America,External,Existing,EAST ANTRIM,Mid and East Antrim,27110,Manufacturing,Old Glenarm Road, , ,Larne,County Antrim,BT40 1EJ
